kode,uraian,fungsi_operasional,uraian_enriched,ai_search_context
000.5.2.1,pengembangan profesi arsiparis antara lain formasi jabatan arsiparis analisis kebutuhan arsiparis,000.5,Pengembangan profesi arsiparis  formasi jabatan arsiparis analisis kebutuhan arsiparis,Kode 000.5.2.1 (000.5): Pengembangan profesi arsiparis  formasi jabatan arsiparis analisis kebutuhan arsiparis
000.5.2.2,bimbingan konsultasi arsiparis,000.5,Bimbingan konsultasi arsiparis,Kode 000.5.2.2 (000.5): Bimbingan konsultasi arsiparis
000.5.2.3,penilaian arsiparis,000.5,Penilaian arsiparis,Kode 000.5.2.3 (000.5): Penilaian arsiparis
000.5.2.4,pemilihan arsiparis teladan antara lain berkas penyelenggaraan pemilihan arsiparis teladan berkas penetapan arsiparis teladan,000.5,Pemilihan arsiparis teladan  berkas penyelenggaraan pemilihan arsiparis teladan berkas penetapan arsiparis teladan,Kode 000.5.2.4 (000.5): Pemilihan arsiparis teladan  berkas penyelenggaraan pemilihan arsiparis teladan berkas penetapan arsiparis teladan
000.5.2.5,data base arsiparis,000.5,Data base arsiparis,Kode 000.5.2.5 (000.5): Data base arsiparis
000.5.2.6,bimbingan konsultasi kearsipan,000.5,Bimbingan konsultasi kearsipan,Kode 000.5.2.6 (000.5): Bimbingan konsultasi kearsipan
000.5.2.7,supervisi dan evaluasi antara lain perencaan supervisi dan evaluasi pelaksanaan supervisi dan evaluasi laporan hasil supervisi dan evaluasi,000.5,Supervisi dan evaluasi  perencaan supervisi dan evaluasi pelaksanaan supervisi dan evaluasi laporan hasil supervisi dan evaluasi,Kode 000.5.2.7 (000.5): Supervisi dan evaluasi  perencaan supervisi dan evaluasi pelaksanaan supervisi dan evaluasi laporan hasil supervisi dan evaluasi
000.5.2.8,data base bimbingan dan konsultasi dan supervisi,000.5,Data base bimbingan dan konsultasi dan supervisi,Kode 000.5.2.8 (000.5): Data base bimbingan dan konsultasi dan supervisi
000.5.2.9,fasilitasi kearsipan antara lain fasilitasi sdm kearsipan fasilitasi prasarana dan sarana kearsipan,000.5,Fasilitasi kearsipan  fasilitasi sdm kearsipan fasilitasi prasarana dan sarana kearsipan,Kode 000.5.2.9 (000.5): Fasilitasi kearsipan  fasilitasi sdm kearsipan fasilitasi prasarana dan sarana kearsipan
000.5.2.10,lembaga atau unit kearsipan teladan antara lain berkas penyelenggaraan pemilihan lembaga atau unit kearsipan teladan berkas penetapan lembaga atau unit kearsipan teladan,000.5,Lembaga atau unit kearsipan teladan  berkas penyelenggaraan pemilihan lembaga atau unit kearsipan teladan berkas penetapan lembaga atau unit kearsipan teladan,Kode 000.5.2.10 (000.5): Lembaga atau unit kearsipan teladan  berkas penyelenggaraan pemilihan lembaga atau unit kearsipan teladan berkas penetapan lembaga atau unit kearsipan teladan
000.5.2.11,jadwal retensi arsip antara lain berkas usulan persetujuan jra surat persetujuan jra dari kepala anri,000.5,Jadwal retensi arsip  berkas usulan persetujuan jra surat persetujuan jra dari kepala anri,Kode 000.5.2.11 (000.5): Jadwal retensi arsip  berkas usulan persetujuan jra surat persetujuan jra dari kepala anri
000.5.3,pengelolaan arsip dinamis,000.5,Pengelolaan arsip dinamis,Kode 000.5.3 (000.5): Pengelolaan arsip dinamis
000.5.3.1,penciptaan antara lain buku registrasi naskah masuk dan keluar buku agenda kartu kendali lembar pengantar atau buku ekspedisi,000.5,Penciptaan  buku registrasi nasurat keputusan (sk)ah masuk dan keluar buku agenda kartu kendali lembar pengantar atau buku ekspedisi,Kode 000.5.3.1 (000.5): Penciptaan  buku registrasi nasurat keputusan (sk)ah masuk dan keluar buku agenda kartu kendali lembar pengantar atau buku ekspedisi
000.5.3.2,pemberkasan arsip aktif antara lain daftar berkas dan daftar isi berkas,000.5,Pemberkasan arsip aktif  daftar berkas dan daftar isi berkas,Kode 000.5.3.2 (000.5): Pemberkasan arsip aktif  daftar berkas dan daftar isi berkas
000.5.3.3,penataan arsip inaktif antara lain daftar arsip inaktif daftar arsip inaktif tematik,000.5,Penataan arsip inaktif  daftar arsip inaktif daftar arsip inaktif tematik,Kode 000.5.3.3 (000.5): Penataan arsip inaktif  daftar arsip inaktif daftar arsip inaktif tematik
000.5.3.4,penggunaan antara lain daftar arsip dinamis berdasarkan sistem klasifikasi keamanan dan akses arsip dinamis bukti pemimjaman arsip,000.5,Penggunaan  daftar arsip dinamis berdasarkan sistem klasifikasi keamanan dan akses arsip dinamis bukti pemimjaman arsip,Kode 000.5.3.4 (000.5): Penggunaan  daftar arsip dinamis berdasarkan sistem klasifikasi keamanan dan akses arsip dinamis bukti pemimjaman arsip
000.5.3.5,autentikasi arsip dinamis antara lain pembuktian autentisitas pendapat tenaga ahli pengujian penetapan autentisitas arsip dinamis,000.5,Autentikasi arsip dinamis  pembuktian autentisitas pendapat tenaga ahli pengujian penetapan autentisitas arsip dinamis,Kode 000.5.3.5 (000.5): Autentikasi arsip dinamis  pembuktian autentisitas pendapat tenaga ahli pengujian penetapan autentisitas arsip dinamis
000.5.4,program arsip vital antara lain identifikasi arsip vital perlindungan dan pengamanan arsip vital penyelamatan arsip vital dan pemulihan arsip vital,000.5,Program arsip vital  identifikasi arsip vital perlindungan dan pengamanan arsip vital penyelamatan arsip vital dan pemulihan arsip vital,Kode 000.5.4 (000.5): Program arsip vital  identifikasi arsip vital perlindungan dan pengamanan arsip vital penyelamatan arsip vital dan pemulihan arsip vital
000.5.5,pengelolaan arsip terjaga antara lain daftar identifkasi arsip terjaga daftar berkas arsip terjaga daftar isi berkas arsip terjaga surat penetapan autentikasi arsip terjaga surat penyerahan arsip terjaga daftar salinan autentik arsip terjaga berita acara penyerahan salinan autentik arsip terjaga,000.5,Pengelolaan arsip terjaga  daftar identifkasi arsip terjaga daftar berkas arsip terjaga daftar isi berkas arsip terjaga surat penetapan autentikasi arsip terjaga surat penyerahan arsip terjaga daftar salinan autentik arsip terjaga berita acara penyerahan salinan autentik arsip terjaga,Kode 000.5.5 (000.5): Pengelolaan arsip terjaga  daftar identifkasi arsip terjaga daftar berkas arsip terjaga daftar isi berkas arsip terjaga surat penetapan autentikasi arsip terjaga surat penyerahan arsip terjaga daftar salinan autentik arsip terjaga berita acara penyerahan salinan autentik arsip terjaga
000.5.6,penyusutan arsip,000.5,Penyusutan arsip,Kode 000.5.6 (000.5): Penyusutan arsip
000.5.6.1,pemindahan arsip antara lain berita acara pemindahan daftar arsip yang dipindahkan,000.5,Pemindahan arsip  berita acara pemindahan daftar arsip yang dipindahkan,Kode 000.5.6.1 (000.5): Pemindahan arsip  berita acara pemindahan daftar arsip yang dipindahkan
000.5.6.2,pemusnahan arsip antara lain sk penetapan panitia penilai arsip pertimbangan panitia penilai permintaan persetujuan kepala anri untuk pemusnahan arsip dengan retensi sekurang kurangnya 10 tahun atau persetujuan kepala daerah selaku pimpinan pencipta arsip untuk pemusanahan arsip dengan retensi di bawah 10 tahun penetapan arsip yang dimusnahkan berita acara pemusnahan arsip daftar arsip yang dimusnahkan,000.5,Pemusnahan arsip  surat keputusan (sk) penetapan panitia penilai arsip pertimbangan panitia penilai permintaan persetujuan kepala anri untuk pemusnahan arsip dengan retensi sekurang kurangnya 10 tahun atau persetujuan kepala daerah (bupati/walikota/gubernur) selaku pimpinan pencipta arsip untuk pemusanahan arsip dengan retensi di bawah 10 tahun penetapan arsip yang dimusnahkan berita acara pemusnahan arsip daftar arsip yang dimusnahkan,Kode 000.5.6.2 (000.5): Pemusnahan arsip  surat keputusan (sk) penetapan panitia penilai arsip pertimbangan panitia penilai permintaan persetujuan kepala anri untuk pemusnahan arsip dengan retensi sekurang kurangnya 10 tahun atau persetujuan kepala daerah (bupati/walikota/gubernur) selaku pimpinan pencipta arsip untuk pemusanahan arsip dengan retensi di bawah 10 tahun penetapan arsip yang dimusnahkan berita acara pemusnahan arsip daftar arsip yang dimusnahkan
000.5.6.3,penyerahan arsip statis antara lain pembentukan panitia penilai notulen rapat panitia surat pertimbangan panitia penilai surat persetujuan dari kepala lembaga kearsipan surat pernyataan autentik terpercaya utuh dan digunakan dari pencipta arsip keputusan penetapan penyerahan berita acara penyerahan arsip daftar arsip yang diserahkan,000.5,Penyerahan arsip statis  pembentukan panitia penilai notulen rapat panitia surat pertimbangan panitia penilai surat persetujuan dari kepala lembaga kearsipan surat pernyataan autentik terpercaya utuh dan digunakan dari pencipta arsip keputusan penetapan penyerahan berita acara penyerahan arsip daftar arsip yang diserahkan,Kode 000.5.6.3 (000.5): Penyerahan arsip statis  pembentukan panitia penilai notulen rapat panitia surat pertimbangan panitia penilai surat persetujuan dari kepala lembaga kearsipan surat pernyataan autentik terpercaya utuh dan digunakan dari pencipta arsip keputusan penetapan penyerahan berita acara penyerahan arsip daftar arsip yang diserahkan
000.5.7,alih media arsip antara lain kebijakan alih media autentikasi berita acara daftar arsip yang dialihmediakan,000.5,Alih media arsip  kebijakan alih media autentikasi berita acara daftar arsip yang dialihmediakan,Kode 000.5.7 (000.5): Alih media arsip  kebijakan alih media autentikasi berita acara daftar arsip yang dialihmediakan
000.5.8,data base pengelolaan arsip dinamis,000.5,Data base pengelolaan arsip dinamis,Kode 000.5.8 (000.5): Data base pengelolaan arsip dinamis
000.5.8.1,data base pengelolaan arsip aktif,000.5,Data base pengelolaan arsip aktif,Kode 000.5.8.1 (000.5): Data base pengelolaan arsip aktif
000.5.8.2,data base pengelolaan arsip inaktif,000.5,Data base pengelolaan arsip inaktif,Kode 000.5.8.2 (000.5): Data base pengelolaan arsip inaktif
000.5.9,pengelolaan arsip statis,000.5,Pengelolaan arsip statis,Kode 000.5.9 (000.5): Pengelolaan arsip statis
000.5.9.1,akuisisi antara lain monitoring fisik dan daftar verifikasi terhadap daftar arsip menetapkan status arsip statis persetujuan untuk penyerahan penetapan arsip yang diserahkan berita acara penyerahan arsip daftar arsip yang diserahkan,000.5,Akuisisi  monitoring fisik dan daftar verifikasi terhadap daftar arsip menetapkan status arsip statis persetujuan untuk penyerahan penetapan arsip yang diserahkan berita acara penyerahan arsip daftar arsip yang diserahkan,Kode 000.5.9.1 (000.5): Akuisisi  monitoring fisik dan daftar verifikasi terhadap daftar arsip menetapkan status arsip statis persetujuan untuk penyerahan penetapan arsip yang diserahkan berita acara penyerahan arsip daftar arsip yang diserahkan
000.5.9.2,penghargaan dan imbalan,000.5,Penghargaan dan imbalan,Kode 000.5.9.2 (000.5): Penghargaan dan imbalan
000.5.9.4,daftar pencarian arsip statis antara lain pengumuman akuisisi daftar pencarian arsip statis,000.5,Daftar pencarian arsip statis  pengumuman akuisisi daftar pencarian arsip statis,Kode 000.5.9.4 (000.5): Daftar pencarian arsip statis  pengumuman akuisisi daftar pencarian arsip statis
000.5.9.5,menyusun sarana bantu temu balik antara lain daftar arsip statis inventaris arsip statis guide,000.5,Menyusun sarana bantu temu balik  daftar arsip statis inventaris arsip statis guide,Kode 000.5.9.5 (000.5): Menyusun sarana bantu temu balik  daftar arsip statis inventaris arsip statis guide
000.5.9.6,preservasi preventif antara lain penyimpanan pengendalian hama terpadu reproduksi alih media,000.5,Preservasi preventif  penyimpanan pengendalian hama terpadu reproduksi alih media,Kode 000.5.9.6 (000.5): Preservasi preventif  penyimpanan pengendalian hama terpadu reproduksi alih media
000.5.9.7,preservasi kuratif,000.5,Preservasi kuratif,Kode 000.5.9.7 (000.5): Preservasi kuratif
000.5.9.8,autentikasi arsip statis antara lain pembuktian autentisitas pendapat tenaga ahli pengujian penetapan autentisitas arsip statis,000.5,Autentikasi arsip statis  pembuktian autentisitas pendapat tenaga ahli pengujian penetapan autentisitas arsip statis,Kode 000.5.9.8 (000.5): Autentikasi arsip statis  pembuktian autentisitas pendapat tenaga ahli pengujian penetapan autentisitas arsip statis
000.5.9.9,akses arsip statis antara lain layanan arsip penerbitan naskah sumber,000.5,Akses arsip statis  layanan arsip penerbitan nasurat keputusan (sk)ah sumber,Kode 000.5.9.9 (000.5): Akses arsip statis  layanan arsip penerbitan nasurat keputusan (sk)ah sumber
000.5.10,jasa kearsipan antara lain konsultasi kearsipan manual kearsipan penataan arsip otomasi kearsipan penyimpanan arsip perawatan dan pemeliharaan arsip,000.5,Jasa kearsipan  konsultasi kearsipan manual kearsipan penataan arsip otomasi kearsipan penyimpanan arsip perawatan dan pemeliharaan arsip,Kode 000.5.10 (000.5): Jasa kearsipan  konsultasi kearsipan manual kearsipan penataan arsip otomasi kearsipan penyimpanan arsip perawatan dan pemeliharaan arsip
000.5.11,pengelolaan sikn dan jikn,000.5,Pengelolaan sikn dan jikn,Kode 000.5.11 (000.5): Pengelolaan sikn dan jikn
000.5.12,pelindungan dan penyelamatan arsip akibat bencana,000.5,Pelindungan dan penyelamatan arsip akibat bencana,Kode 000.5.12 (000.5): Pelindungan dan penyelamatan arsip akibat bencana
000.5.13,penyelamatan arsip perangkat daerah digabung dan atau dibubarkan,000.5,Penyelamatan arsip perangkat daerah digabung dan atau dibubarkan,Kode 000.5.13 (000.5): Penyelamatan arsip perangkat daerah digabung dan atau dibubarkan
000.5.14,penerbitan izin penggunaan arsip yang bersifat tertutup,000.5,Penerbitan izin penggunaan arsip yang bersifat tertutup,Kode 000.5.14 (000.5): Penerbitan izin penggunaan arsip yang bersifat tertutup
000.5.15,pengawasan kearsipan,000.5,Pengawasan kearsipan,Kode 000.5.15 (000.5): Pengawasan kearsipan
000.5.15.1,pengawasan kearsipan internal,000.5,Pengawasan kearsipan internal,Kode 000.5.15.1 (000.5): Pengawasan kearsipan internal
000.5.15.2,pengawasan kearsipan eksternal,000.5,Pengawasan kearsipan eksternal,Kode 000.5.15.2 (000.5): Pengawasan kearsipan eksternal
000.5.15.3,sanksi,000.5,Sanksi,Kode 000.5.15.3 (000.5): Sanksi
000.6,persandian,000.6,Persandian,Kode 000.6 (000.6): Persandian
000.6.1,kebijakan di bidang persandian yang dilakukan oleh pemerintah daerah,000.6,Kebijakan di bidang persandian yang dilakukan oleh pemerintah daerah,Kode 000.6.1 (000.6): Kebijakan di bidang persandian yang dilakukan oleh pemerintah daerah
000.6.2,pengamanan persandian,000.6,Pengamanan persandian,Kode 000.6.2 (000.6): Pengamanan persandian
000.6.2.1,pengamanan sinyal teknik sandi dan kripto,000.6,Pengamanan sinyal teknik sandi dan kripto,Kode 000.6.2.1 (000.6): Pengamanan sinyal teknik sandi dan kripto
000.6.2.2,analisis sinyal teknik sandi dan kripto,000.6,Analisis sinyal teknik sandi dan kripto,Kode 000.6.2.2 (000.6): Analisis sinyal teknik sandi dan kripto
000.6.2.3,materiil sandi sistem dan peralatan,000.6,Materiil sandi sistem dan peralatan,Kode 000.6.2.3 (000.6): Materiil sandi sistem dan peralatan
000.6.3,pengkajian persandian kriptografi peralatan sandi komunikasi sandi,000.6,Pengkajian persandian kriptografi peralatan sandi komunikasi sandi,Kode 000.6.3 (000.6): Pengkajian persandian kriptografi peralatan sandi komunikasi sandi
000.6.3.1,perencanaan pengkajian,000.6,Perencanaan pengkajian,Kode 000.6.3.1 (000.6): Perencanaan pengkajian
000.6.3.3,pelaksanaan,000.6,Pelaksanaan,Kode 000.6.3.3 (000.6): Pelaksanaan
000.6.3.4,pelaporan,000.6,Pelaporan,Kode 000.6.3.4 (000.6): Pelaporan
000.6.4,pembinaan dan pengendalian persandian,000.6,Pembinaan dan pengendalian persandian,Kode 000.6.4 (000.6): Pembinaan dan pengendalian persandian
000.6.4.1,sumber daya manusia sdm,000.6,Sumber daya manusia sdm,Kode 000.6.4.1 (000.6): Sumber daya manusia sdm
000.6.5,layanan sertifikasi elektronik,000.6,Layanan sertifikasi elektronik,Kode 000.6.5 (000.6): Layanan sertifikasi elektronik
000.6.5.1,perencanaan dan administrasi,000.6,Perencanaan dan administrasi,Kode 000.6.5.1 (000.6): Perencanaan dan administrasi
000.6.5.2,pelaksanaan verifikasi,000.6,Pelaksanaan verifikasi,Kode 000.6.5.2 (000.6): Pelaksanaan verifikasi
000.6.5.3,pelaksanaan perjanjian kerjasama,000.6,Pelaksanaan perjanjian kerjasama,Kode 000.6.5.3 (000.6): Pelaksanaan perjanjian kerjasama
000.6.5.4,penyesuaian sistem dan testing,000.6,Penyesuaian sistem dan testing,Kode 000.6.5.4 (000.6): Penyesuaian sistem dan testing
000.6.5.5,pelaksanaan bimbingan teknis pengguna,000.6,Pelaksanaan bimbingan teknis pengguna,Kode 000.6.5.5 (000.6): Pelaksanaan bimbingan teknis pengguna
000.6.5.6,pelaksanaan penerbitan sertifikat elektronik,000.6,Pelaksanaan penerbitan sertifikat elektronik,Kode 000.6.5.6 (000.6): Pelaksanaan penerbitan sertifikat elektronik
000.6.5.7,pelaporan,000.6,Pelaporan,Kode 000.6.5.7 (000.6): Pelaporan
000.7,perencanaan pembangunan,000.7,Perencanaan pembangunan,Kode 000.7 (000.7): Perencanaan pembangunan
000.7.1,musyawarah perencanaan,000.7,Musyawarah perencanaan,Kode 000.7.1 (000.7): Musyawarah perencanaan
000.7.1.1,musrenbang provinsi,000.7,Musrenbang provinsi,Kode 000.7.1.1 (000.7): Musrenbang provinsi
000.7.1.2,musrenbang nasional,000.7,Musrenbang nasional,Kode 000.7.1.2 (000.7): Musrenbang nasional
000.7.1.3,musrenbang kabupaten,000.7,Musrenbang kabupaten,Kode 000.7.1.3 (000.7): Musrenbang kabupaten
000.7.1.4,musrenbang kecamatan,000.7,Musrenbang kecamatan,Kode 000.7.1.4 (000.7): Musrenbang kecamatan
000.7.1.5,musrenbang kelurahan,000.7,Musrenbang kelurahan,Kode 000.7.1.5 (000.7): Musrenbang kelurahan
000.7.1.6,musrenbang desa,000.7,Musrenbang desa,Kode 000.7.1.6 (000.7): Musrenbang desa
000.7.2,perencanaan pembangungan daerah,000.7,Perencanaan pembangungan daerah,Kode 000.7.2 (000.7): Perencanaan pembangungan daerah
000.7.2.1,rencana pembangunan jangka panjang,000.7,Rencana pembangunan jangka panjang,Kode 000.7.2.1 (000.7): Rencana pembangunan jangka panjang
000.7.2.2,rencana pembangunan jangka menengah,000.7,Rencana pembangunan jangka menengah,Kode 000.7.2.2 (000.7): Rencana pembangunan jangka menengah
000.7.2.3,rencana anggaran daerah,000.7,Rencana anggaran daerah,Kode 000.7.2.3 (000.7): Rencana anggaran daerah
000.7.2.4,rencana pembangunan tahunan,000.7,Rencana pembangunan tahunan,Kode 000.7.2.4 (000.7): Rencana pembangunan tahunan
000.7.2.5,rencana pembentukan satuan kerja perangkat daerah,000.7,Rencana pembentukan satuan kerja perangkat daerah,Kode 000.7.2.5 (000.7): Rencana pembentukan satuan kerja perangkat daerah
000.7.2.6,program kerja tahunan,000.7,Program kerja tahunan,Kode 000.7.2.6 (000.7): Program kerja tahunan
000.7.2.7,penetapan atau kontrak kinerja,000.7,Penetapan atau kontrak kinerja,Kode 000.7.2.7 (000.7): Penetapan atau kontrak kinerja
000.7.2.8,laporan berkala,000.7,Laporan berkala,Kode 000.7.2.8 (000.7): Laporan berkala
000.7.2.9,laporan insidential,000.7,Laporan insidential,Kode 000.7.2.9 (000.7): Laporan insidential
000.7.2.10,evaluasi program,000.7,Evaluasi program,Kode 000.7.2.10 (000.7): Evaluasi program
000.7.3,koordinasi dan sinkronisasi perencanaan pembangunan,000.7,Koordinasi dan sinkronisasi perencanaan pembangunan,Kode 000.7.3 (000.7): Koordinasi dan sinkronisasi perencanaan pembangunan
000.7.4,konsultasi perencanaan pembangunan,000.7,Konsultasi perencanaan pembangunan,Kode 000.7.4 (000.7): Konsultasi perencanaan pembangunan
000.7.5,pemantauan evaluasi penilaian dan pelaporan perencanaan pembangunan,000.7,Pemantauan evaluasi penilaian dan pelaporan perencanaan pembangunan,Kode 000.7.5 (000.7): Pemantauan evaluasi penilaian dan pelaporan perencanaan pembangunan
